Date,Description,Amount
2024-11-16,Payroll Transfer,60025
2024-12-12,Google Ads,2668
2024-05-30,Intern Stipend,23421
2024-11-12,Facebook Ads,2570
2024-12-03,Google Ads,10823
2024-08-25,Payroll Transfer,45160
2024-02-21,Canva Pro,11145
2024-01-14,Restaurant Meeting,3067
2024-10-27,WiFi Payment,3488
2024-01-07,AWS Subscription,1341
2024-10-20,Pens Purchase,1093
2024-08-03,Office Chair,31290
2024-04-05,WiFi Payment,4442
2024-01-23,Zoom License,7029
2024-10-26,Employee Salary,40425
2024-07-02,Canva Pro,11677
2024-08-28,Ola Cab,1407
2024-07-07,Flight Booking,2584
2024-12-02,Intern Stipend,58432
2024-09-16,Laptop Purchase,23557
2024-06-25,Local Vendor,3657
2024-04-13,Zoom License,5747
2024-12-07,Printer Paper,1075
2024-11-03,WiFi Payment,4628
2024-06-20,Restaurant Meeting,2618
2024-03-24,Rail Ticket,2892
2024-09-10,Printer Paper,472
2024-04-24,AWS Subscription,5732
2024-04-19,GitHub Pro,5611
2024-06-18,GitHub Pro,6517
2024-04-04,Google Ads,7558
2024-02-07,Payroll Transfer,20648
2024-02-28,Swiggy Team Lunch,2572
2024-04-09,Office Chair,36862
2024-04-11,Swiggy Team Lunch,421
2024-04-22,Notion Annual,1926
2024-10-10,Ola Cab,2983
2024-01-12,Zoom License,2105
2024-01-11,Office Chair,14631
2024-02-26,Desk Equipment,50917
2024-08-21,Swiggy Team Lunch,1549
2024-07-09,Notion Annual,7131
2024-02-03,Desk Equipment,54592
2024-04-07,Office Stationery,835
2024-07-10,GitHub Pro,6188
2024-11-21,Restaurant Meeting,2059
2024-11-11,AWS Subscription,6751
2024-03-17,Notion Annual,6968
2024-11-18,Swiggy Team Lunch,518
2024-10-26,Ola Cab,4363
2024-08-28,Electricity Bill,1466
2024-07-17,Office Stationery,2383
2024-09-22,Courier Charge,4284
2024-12-30,Electricity Bill,3436
2024-09-04,Restaurant Meeting,3144
2024-10-24,Broadband Recharge,2998
2024-10-25,Canva Pro,13953
2024-04-13,Employee Salary,34386
2024-04-21,Electricity Bill,4043
2024-10-19,Rail Ticket,3289
2024-10-08,Office Chair,24680
2024-05-31,Office Stationery,644
2024-04-27,WiFi Payment,3680
2024-11-14,Payroll Transfer,53571
2024-08-27,Zomato Dinner,2147
2024-09-11,Facebook Ads,7021
2024-01-13,Zomato Dinner,1866
2024-05-15,Desk Equipment,23321
2024-05-30,Printer Paper,637
2024-04-26,Local Vendor,2464
2024-07-03,Office Stationery,592
2024-06-19,Intern Stipend,33127
2024-06-03,Notion Annual,2548
2024-10-05,Ola Cab,1329
2024-05-24,Uber Ride,2653
2024-10-23,Zomato Dinner,1961
2024-09-19,Payroll Transfer,62866
2024-04-26,Desk Equipment,22914
2024-09-21,GitHub Pro,2414
2024-06-23,Misc Purchase,3979
2024-08-07,Printer Paper,1069
2024-08-18,Google Ads,8187
2024-03-12,Local Vendor,3269
2024-01-05,Office Chair,56352
2024-06-22,WiFi Payment,3705
2024-12-17,GitHub Pro,3987
2024-06-02,Canva Pro,9808
2024-10-17,Restaurant Meeting,395
2024-06-18,Employee Salary,30072
2024-07-19,Facebook Ads,4345
2024-04-06,Pens Purchase,1882
2024-10-18,Electricity Bill,3493
2024-02-17,WiFi Payment,3295
2024-10-10,Laptop Purchase,52229
2024-11-04,Laptop Purchase,53155
2024-04-11,Electricity Bill,2329
2024-04-15,Printer Paper,1462
2024-09-25,Notion Annual,5903
2024-07-07,Printer Paper,535
2024-06-16,Local Vendor,1607
2024-02-26,Facebook Ads,3572
2024-02-05,Desk Equipment,39342
2024-04-15,Google Ads,3128
2024-03-22,Rail Ticket,4089
2024-12-16,Ola Cab,4316
2024-01-04,Broadband Recharge,2452
2024-07-23,Desk Equipment,12192
2024-10-18,Notion Annual,7957
2024-10-21,Broadband Recharge,4590
2024-05-27,Intern Stipend,25970
2024-07-19,Broadband Recharge,3236
2024-04-01,Desk Equipment,24327
2024-12-03,Facebook Ads,7302
2024-12-23,Laptop Purchase,33791
2024-03-21,Employee Salary,78034
2024-12-23,Flight Booking,746
2024-10-10,GitHub Pro,3869
2024-02-23,Printer Paper,613
2024-08-18,Courier Charge,3559
2024-09-16,Office Chair,21590
2024-02-07,Payroll Transfer,21750
2024-07-23,Broadband Recharge,3615
2024-01-06,GitHub Pro,809
2024-06-16,Uber Ride,1318
2024-02-04,Broadband Recharge,4579
2024-05-04,Pens Purchase,2991
2024-05-22,Electricity Bill,4656
2024-11-06,Monitor Setup,9183
2024-03-04,Office Stationery,1504
2024-02-09,Misc Purchase,1579
2024-03-19,Intern Stipend,37907
2024-04-20,Broadband Recharge,2257
2024-04-20,Intern Stipend,54884
2024-11-21,WiFi Payment,1191
2024-12-19,Local Vendor,3399
2024-11-02,Rail Ticket,629
2024-07-12,Employee Salary,70620
2024-05-02,Zoom License,3569
2024-08-03,AWS Subscription,631
2024-04-08,Employee Salary,42093
2024-12-06,Office Stationery,695
2024-07-31,Monitor Setup,10884
2024-06-14,Local Vendor,2879
2024-04-16,Repair Service,5317
2024-03-02,Misc Purchase,3705
2024-07-01,Zoom License,1367
2024-07-24,Swiggy Team Lunch,361
2024-04-18,Swiggy Team Lunch,1894
2024-12-02,Electricity Bill,1340
2024-02-04,Flight Booking,559
2024-11-02,GitHub Pro,2970
2024-05-08,Electricity Bill,2204
2024-11-19,Pens Purchase,1628
2024-12-21,Canva Pro,13638
2024-11-21,Office Chair,19490
2024-02-04,Restaurant Meeting,2274
2024-10-26,Swiggy Team Lunch,2792
2024-11-23,Broadband Recharge,4986
2024-01-11,AWS Subscription,2405
2024-08-07,Printer Paper,1268
2024-03-11,AWS Subscription,990
2024-04-13,Zomato Dinner,1514
2024-11-24,Desk Equipment,21394
2024-11-02,Employee Salary,67533
2024-03-09,WiFi Payment,3492
2024-09-23,Flight Booking,524
2024-05-27,Canva Pro,14315
2024-06-18,Employee Salary,75504
2024-10-03,Swiggy Team Lunch,1143
2024-12-17,Intern Stipend,36275
2024-06-13,GitHub Pro,4771
2024-01-04,Desk Equipment,49273
2024-04-08,Printer Paper,586
2024-04-14,Intern Stipend,29275
2024-10-30,Laptop Purchase,19382
2024-09-16,Repair Service,2135
2024-06-08,Printer Paper,2213
2024-08-05,Monitor Setup,24051
2024-05-26,Monitor Setup,27864
2024-05-19,WiFi Payment,2449
2024-07-22,Electricity Bill,3745
2024-08-13,Google Ads,8712
2024-08-09,Canva Pro,10984
2024-07-14,Desk Equipment,9298
2024-06-02,Google Ads,13433
2024-03-30,Repair Service,4728
2024-06-05,Rail Ticket,3998
2024-10-14,Broadband Recharge,3873
2024-03-10,Electricity Bill,3529
2024-04-07,Electricity Bill,2067
2024-09-13,Employee Salary,76469
2024-07-31,Zomato Dinner,1957
2024-07-15,Canva Pro,7113
2024-07-28,Broadband Recharge,1383
2024-10-16,Employee Salary,45219
2024-08-11,Monitor Setup,58000
2024-12-29,Flight Booking,4374
2024-12-22,WiFi Payment,3816
2024-08-05,Intern Stipend,45253
2024-01-18,Zoom License,4413
2024-12-12,Restaurant Meeting,3194
2024-11-26,Intern Stipend,63625
2024-08-21,Office Chair,47677
2024-11-04,Office Chair,24214
2024-02-17,Laptop Purchase,15650
2024-10-27,Facebook Ads,12568
2024-08-04,Pens Purchase,1073
2024-12-20,Desk Equipment,24572
2024-07-29,Rail Ticket,2722
2024-10-20,Office Stationery,2905
2024-04-17,Swiggy Team Lunch,1401
2024-01-04,Canva Pro,6047
2024-02-19,Desk Equipment,8103
2024-09-25,Pens Purchase,2011
2024-08-08,Canva Pro,5724
2024-04-05,Monitor Setup,32553
2024-04-03,Monitor Setup,39881
2024-10-17,Local Vendor,3891
2024-01-31,Zoom License,2146
2024-07-28,Monitor Setup,24996
2024-11-21,WiFi Payment,1694
2024-02-13,Laptop Purchase,27210
2024-02-02,Google Ads,5534
2024-04-30,Swiggy Team Lunch,2698
2024-01-05,Broadband Recharge,1625
2024-01-04,Payroll Transfer,69269
2024-09-24,Employee Salary,33832
2024-09-23,Payroll Transfer,59517
2024-06-21,Rail Ticket,4076
2024-12-15,Facebook Ads,7074
2024-05-02,Zomato Dinner,3645
2024-07-12,Restaurant Meeting,1932
2024-06-18,Payroll Transfer,77218
2024-12-23,Office Stationery,2171
2024-03-12,Canva Pro,14687
2024-09-28,Intern Stipend,28054
2024-08-19,Ola Cab,3218
2024-12-04,WiFi Payment,4184
2024-06-13,AWS Subscription,5727
2024-01-24,Intern Stipend,43606
2024-04-29,Restaurant Meeting,2119
2024-06-27,Broadband Recharge,1466
2024-12-24,Facebook Ads,11786
2024-05-30,Pens Purchase,1876
2024-09-23,Zoom License,7625
2024-09-11,Local Vendor,1247
2024-08-27,Printer Paper,2547
2024-09-03,Desk Equipment,15581
2024-04-18,Repair Service,2193
2024-08-10,Laptop Purchase,14912
2024-07-15,Employee Salary,41397
2024-12-06,Ola Cab,2310
2024-12-06,WiFi Payment,1808
2024-12-20,Desk Equipment,13927
2024-11-03,Swiggy Team Lunch,2659
2024-07-12,Pens Purchase,1705
2024-10-14,Canva Pro,11520
2024-05-12,Google Ads,4662
2024-02-27,Printer Paper,659
2024-04-06,Printer Paper,2725
2024-03-06,Pens Purchase,1806
2024-01-01,Zomato Dinner,2663
2024-04-07,Uber Ride,4587
2024-07-05,Facebook Ads,6237
2024-07-21,Monitor Setup,14985
2024-08-23,Intern Stipend,75860
2024-05-31,Swiggy Team Lunch,3642
2024-08-21,GitHub Pro,6070
2024-12-06,Office Chair,17559
2024-06-07,Intern Stipend,40980
2024-12-27,Local Vendor,2440
2024-09-10,WiFi Payment,2567
2024-06-19,Rail Ticket,681
2024-04-25,Monitor Setup,56015
2024-09-06,Employee Salary,76149
2024-12-03,Facebook Ads,14353
2024-07-19,Laptop Purchase,43909
2024-08-30,Zomato Dinner,3076
2024-02-06,Zomato Dinner,1901
2024-12-22,Courier Charge,2513
2024-03-08,GitHub Pro,1297
2024-01-28,Restaurant Meeting,3846
2024-10-22,Rail Ticket,1540
2024-09-04,Desk Equipment,53610
2024-04-21,Ola Cab,1918
2024-10-21,AWS Subscription,3467
2024-07-11,Pens Purchase,904
2024-03-27,Canva Pro,14789
2024-08-30,Employee Salary,43303
2024-09-20,Laptop Purchase,15690
2024-03-17,Restaurant Meeting,2076
2024-03-01,Google Ads,1556
2024-06-03,GitHub Pro,4502
2024-12-20,Desk Equipment,58846
2024-07-14,Printer Paper,2963
2024-01-06,Rail Ticket,3209
2024-03-03,Office Stationery,638
2024-04-25,WiFi Payment,4975
2024-10-20,Intern Stipend,57550
2024-10-30,Broadband Recharge,1574
2024-11-26,Desk Equipment,39731
2024-03-05,Facebook Ads,10362
2024-12-31,Printer Paper,560
2024-12-24,Repair Service,3520
2024-10-01,Payroll Transfer,56441
2024-09-22,Misc Purchase,723
2024-12-03,Local Vendor,1899
2024-12-21,Office Stationery,2753
2024-08-16,Laptop Purchase,44354
2024-03-06,Swiggy Team Lunch,460
2024-10-14,Zoom License,1219
2024-03-04,Uber Ride,893
2024-10-05,Courier Charge,3178
2024-01-01,Desk Equipment,51133
2024-09-22,Notion Annual,878
2024-10-22,Rail Ticket,1345
2024-09-24,WiFi Payment,3363
2024-09-18,Restaurant Meeting,2504
2024-01-23,AWS Subscription,5928
2024-03-13,AWS Subscription,2040
2024-11-04,Ola Cab,1299
2024-07-02,Repair Service,5047
2024-02-08,Ola Cab,3657
2024-07-14,Courier Charge,2335
2024-02-12,Desk Equipment,37888
2024-10-01,Rail Ticket,1373
2024-05-17,AWS Subscription,5657
2024-12-02,Notion Annual,5117
2024-03-19,Repair Service,3638
2024-01-14,Zomato Dinner,1852
2024-03-04,AWS Subscription,2712
2024-10-07,Local Vendor,5803
2024-11-23,Google Ads,6396
2024-05-19,Printer Paper,1666
2024-01-06,Monitor Setup,25933
2024-07-12,Printer Paper,1210
2024-09-26,Office Stationery,1019
2024-09-27,Rail Ticket,982
2024-05-24,Restaurant Meeting,2643
2024-02-20,Courier Charge,5176
2024-07-18,Employee Salary,40840
2024-12-13,Office Chair,56581
2024-10-30,Misc Purchase,4106
2024-12-17,Office Chair,8622
2024-03-05,Repair Service,5586
2024-05-16,Desk Equipment,45195
2024-07-08,Intern Stipend,61890
2024-08-22,GitHub Pro,6289
2024-08-27,Desk Equipment,31199
2024-08-07,Courier Charge,2459
2024-11-21,Repair Service,2700
2024-06-09,Printer Paper,1965
2024-02-09,Pens Purchase,625
2024-10-21,AWS Subscription,1852
2024-05-26,Employee Salary,68720
2024-08-05,Misc Purchase,287
2024-09-11,Repair Service,4129
2024-01-08,Local Vendor,3521
2024-08-05,AWS Subscription,6350
2024-12-04,Courier Charge,2200
2024-08-17,Local Vendor,5175
2024-02-08,Monitor Setup,19456
2024-06-29,Swiggy Team Lunch,2404
2024-07-13,Payroll Transfer,52473
2024-06-22,Office Chair,15420
2024-06-02,AWS Subscription,2876
2024-04-19,Broadband Recharge,2968
2024-10-18,Intern Stipend,61364
2024-11-25,Google Ads,5994
2024-11-12,Local Vendor,3993
2024-01-04,Electricity Bill,3714
2024-06-30,Broadband Recharge,3244
2024-04-05,Office Stationery,1732
2024-02-21,Facebook Ads,1145
2024-02-13,Facebook Ads,4236
2024-03-04,Repair Service,3564
2024-12-02,Electricity Bill,2074
2024-07-21,Ola Cab,4055
2024-08-07,Zomato Dinner,1792
2024-08-12,Office Chair,15123
2024-06-30,Electricity Bill,1945
2024-12-29,Google Ads,6885
2024-05-25,AWS Subscription,2052
2024-08-03,Employee Salary,45856
2024-12-07,Swiggy Team Lunch,956
2024-05-16,GitHub Pro,5949
2024-10-08,Printer Paper,2303
2024-06-15,WiFi Payment,1843
2024-07-18,Canva Pro,12894
2024-01-11,Laptop Purchase,15069
2024-09-13,Monitor Setup,30552
2024-01-27,Intern Stipend,35499
2024-01-05,Zomato Dinner,2745
2024-05-24,Facebook Ads,5742
2024-05-06,Electricity Bill,4313
2024-05-23,Monitor Setup,24349
2024-12-07,Printer Paper,1313
2024-12-27,Google Ads,8764
2024-11-08,Pens Purchase,2357
2024-11-18,Monitor Setup,46744
2024-03-08,Monitor Setup,15894
2024-04-08,Google Ads,5486
2024-11-11,Desk Equipment,9157
2024-01-27,AWS Subscription,7580
2024-06-05,Facebook Ads,9601
2024-08-06,Zoom License,3253
2024-08-06,Electricity Bill,4976
2024-05-17,Payroll Transfer,27212
2024-12-30,Zomato Dinner,1737
2024-01-25,Google Ads,6240
2024-01-27,Laptop Purchase,8035
2024-08-29,Swiggy Team Lunch,1468
2024-04-04,Uber Ride,3729
2024-06-20,Rail Ticket,3178
2024-12-08,Uber Ride,993
2024-03-07,Intern Stipend,56160
2024-07-04,Zomato Dinner,3336
2024-11-28,Courier Charge,2151
2024-07-15,Ola Cab,4986
2024-11-18,Office Stationery,834
2024-12-01,Office Stationery,2702
2024-08-16,Zoom License,6272
2024-11-12,Office Stationery,2538
2024-08-30,Zomato Dinner,3271
2024-03-06,Zoom License,858
2024-12-30,GitHub Pro,5009
2024-08-17,Flight Booking,3198
2024-09-04,Printer Paper,577
2024-01-12,Canva Pro,9255
2024-03-07,Office Chair,53659
2024-02-01,Uber Ride,4838
2024-12-16,GitHub Pro,4555
2024-08-12,Local Vendor,1555
2024-07-18,Misc Purchase,4807
2024-04-15,Canva Pro,5448
2024-10-19,Laptop Purchase,18485
2024-09-19,AWS Subscription,7702
2024-06-04,WiFi Payment,2920
2024-05-17,Notion Annual,6302
2024-04-24,Local Vendor,1601
2024-05-29,Intern Stipend,35611
2024-05-22,Intern Stipend,29708
2024-01-27,Office Chair,59814
2024-02-29,Zoom License,4879
2024-11-19,Intern Stipend,42771
2024-12-27,Zomato Dinner,640
2024-07-28,Courier Charge,1294
2024-11-16,Flight Booking,669
2024-05-23,Payroll Transfer,34370
2024-10-02,Office Chair,9024
2024-11-30,Pens Purchase,1864
2024-04-22,Ola Cab,3822
2024-10-24,Zomato Dinner,1135
2024-04-28,Google Ads,8308
2024-09-02,Facebook Ads,3430
2024-08-23,Printer Paper,1043
2024-10-18,Monitor Setup,20377
2024-11-27,WiFi Payment,2277
2024-03-24,Uber Ride,2740
2024-11-07,Desk Equipment,53047
2024-02-06,AWS Subscription,1675
2024-11-26,Google Ads,8455
2024-09-26,Google Ads,12867
2024-02-21,Laptop Purchase,47537
2024-02-26,Facebook Ads,1339
2024-03-08,Intern Stipend,22866
2024-03-14,AWS Subscription,2692
2024-02-24,Employee Salary,71882
2024-02-13,Courier Charge,5995
2024-10-15,Zoom License,4435
2024-06-18,Electricity Bill,3318
2024-01-29,Electricity Bill,2797
2024-10-05,Courier Charge,5340
2024-02-22,Office Stationery,482
2024-09-18,Courier Charge,1040
2024-04-24,Google Ads,1019
2024-07-16,Employee Salary,47992
2024-05-26,Office Chair,50949
2024-02-27,GitHub Pro,6125
2024-04-24,Electricity Bill,1702
2024-02-09,Printer Paper,1763
2024-02-13,Swiggy Team Lunch,1776
2024-04-01,Intern Stipend,29902
2024-11-03,Canva Pro,6486
2024-12-07,Desk Equipment,17844
2024-02-23,Flight Booking,3053
2024-05-15,Rail Ticket,3223
2024-12-01,Office Stationery,908
2024-07-18,Office Chair,17684
2024-02-04,WiFi Payment,4719
2024-05-22,Pens Purchase,2050
2024-03-06,Laptop Purchase,29171
2024-06-12,Desk Equipment,31108
2024-12-21,Broadband Recharge,4742
2024-11-21,Canva Pro,14000
2024-11-30,Swiggy Team Lunch,3585
2024-10-08,GitHub Pro,3929
2024-09-29,WiFi Payment,4835
2024-02-12,Repair Service,3350
2024-12-21,Canva Pro,10467
2024-07-04,AWS Subscription,2426
2024-01-09,Employee Salary,75744
2024-03-09,Restaurant Meeting,2241
2024-07-03,Office Stationery,1730
2024-03-14,Office Chair,38172
2024-04-17,Misc Purchase,2186
2024-03-11,AWS Subscription,6619
2024-07-12,Pens Purchase,886
2024-07-09,Intern Stipend,47833
2024-12-05,Intern Stipend,26947
2024-03-21,Printer Paper,2732
2024-03-13,Employee Salary,43936
2024-01-07,Office Stationery,615
2024-04-03,Google Ads,13540
2024-09-27,WiFi Payment,1947
2024-06-21,Rail Ticket,3571
2024-05-26,WiFi Payment,908
2024-11-24,Office Stationery,545
2024-03-29,Intern Stipend,69226
2024-07-21,Repair Service,289
2024-10-10,Canva Pro,8443
2024-08-04,Flight Booking,2062
2024-09-24,Office Chair,14025
2024-04-18,Google Ads,13175
2024-04-22,Canva Pro,1917
2024-10-13,Google Ads,14475
2024-09-01,Pens Purchase,2218
2024-07-26,Restaurant Meeting,2929
2024-07-09,Google Ads,1895
2024-02-25,Google Ads,5422
2024-11-04,Office Stationery,1785
2024-05-24,Swiggy Team Lunch,1281
2024-04-18,Laptop Purchase,12280
2024-10-09,Payroll Transfer,32303
2024-05-17,AWS Subscription,2468
2024-01-23,Pens Purchase,2613
2024-06-10,Electricity Bill,1193
2024-07-01,Printer Paper,334
2024-04-09,Rail Ticket,4297
2024-07-01,Zomato Dinner,3272
2024-07-27,Laptop Purchase,29713
2024-03-17,Local Vendor,4313
2024-07-14,Intern Stipend,72171
2024-05-28,WiFi Payment,1106
2024-08-25,Monitor Setup,52720
2024-04-28,Pens Purchase,682
2024-03-23,Zoom License,6798
2024-03-08,Courier Charge,3865
2024-11-15,Zomato Dinner,1775
2024-12-15,Google Ads,12677
2024-11-08,Google Ads,4421
2024-11-17,Office Stationery,2622
2024-03-14,Electricity Bill,922
2024-02-18,Uber Ride,4287
2024-05-31,Broadband Recharge,2190
2024-10-22,Laptop Purchase,26357
2024-02-06,Zomato Dinner,665
2024-08-30,Desk Equipment,24904
2024-03-04,Rail Ticket,1350
2024-05-26,Electricity Bill,3777
2024-12-14,Facebook Ads,11152
2024-09-19,Desk Equipment,32034
2024-12-15,Zomato Dinner,641
2024-05-14,Canva Pro,8374
2024-01-30,Intern Stipend,62196
2024-02-23,AWS Subscription,1766
2024-10-18,Rail Ticket,1496
2024-07-17,Google Ads,4654
2024-06-27,WiFi Payment,1565
2024-02-25,Broadband Recharge,4608
2024-07-22,Office Stationery,743
2024-06-17,Google Ads,7578
2024-11-05,Printer Paper,1702
2024-02-28,Electricity Bill,4701
2024-10-06,Rail Ticket,513
2024-11-23,Desk Equipment,17536
2024-01-17,Notion Annual,5154
2024-07-04,Google Ads,14247
2024-01-28,Facebook Ads,4496
2024-12-16,AWS Subscription,6714
2024-11-21,Facebook Ads,5129
2024-02-05,Laptop Purchase,17288
2024-06-01,Rail Ticket,869
2024-12-08,Broadband Recharge,2553
2024-02-17,Ola Cab,640
2024-06-01,Facebook Ads,13340
2024-08-02,Monitor Setup,30890
2024-12-22,Broadband Recharge,2116
2024-10-19,Facebook Ads,12352
2024-11-01,Google Ads,10189
2024-12-07,AWS Subscription,6420
2024-06-11,Office Chair,51520
2024-08-22,Employee Salary,78753
2024-02-28,Desk Equipment,28736
2024-01-02,Facebook Ads,9531
2024-11-23,Electricity Bill,4480
2024-04-06,Office Stationery,1195
2024-03-26,Canva Pro,9947
2024-04-17,Google Ads,6703
2024-07-05,AWS Subscription,3533
2024-06-06,Payroll Transfer,78763
2024-09-12,Local Vendor,5928
2024-06-29,Broadband Recharge,4161
2024-09-24,Restaurant Meeting,2044
2024-08-22,Swiggy Team Lunch,1020
2024-10-10,Facebook Ads,3898
2024-05-25,Desk Equipment,33006
2024-12-25,Canva Pro,5640
2024-02-15,Office Stationery,725
2024-02-23,Intern Stipend,46953
2024-11-20,WiFi Payment,1616
2024-12-07,WiFi Payment,1067
2024-04-24,Rail Ticket,1935
2024-02-28,WiFi Payment,3921
2024-06-28,GitHub Pro,1519
2024-01-04,Broadband Recharge,4042
2024-05-25,Swiggy Team Lunch,2378
2024-07-31,Flight Booking,2718
2024-07-31,AWS Subscription,7874
2024-03-19,Employee Salary,21720
2024-11-03,Restaurant Meeting,3658
2024-10-19,Zomato Dinner,998
2024-07-19,Google Ads,10105
2024-01-27,GitHub Pro,7287
2024-07-18,Google Ads,11424
2024-09-21,Desk Equipment,28848
2024-02-20,Desk Equipment,23136
2024-10-22,Laptop Purchase,49382
2024-10-10,Canva Pro,5263
2024-02-17,Office Chair,21353
2024-01-06,Office Stationery,2091
2024-12-28,Laptop Purchase,48507
2024-07-14,Local Vendor,4884
2024-03-07,Intern Stipend,68114
2024-04-05,WiFi Payment,3733
2024-04-09,Zoom License,2932
2024-05-13,Repair Service,3297
2024-03-14,Payroll Transfer,25437
2024-02-22,Intern Stipend,57968
2024-03-03,Printer Paper,2740
2024-05-14,Office Stationery,1456
2024-09-10,Laptop Purchase,13071
2024-02-21,Swiggy Team Lunch,1900
2024-02-07,Electricity Bill,4189
2024-04-17,WiFi Payment,1425
2024-11-20,Facebook Ads,6137
2024-06-01,Electricity Bill,2272
2024-10-17,Employee Salary,63231
2024-06-26,Employee Salary,42466
2024-03-22,WiFi Payment,841
2024-04-08,Courier Charge,1196
2024-09-22,Intern Stipend,21509
2024-07-05,Repair Service,1971
2024-06-16,Office Stationery,420
2024-12-20,Monitor Setup,13468
2024-09-03,Office Chair,25935
2024-12-28,AWS Subscription,3355
2024-09-10,Courier Charge,4026
2024-04-08,Canva Pro,7552
2024-12-17,Ola Cab,1821
2024-10-25,Rail Ticket,1042
2024-09-06,Ola Cab,1886
2024-11-01,Facebook Ads,7942
2024-11-06,Flight Booking,1081
2024-10-17,Facebook Ads,4272
2024-11-19,Zomato Dinner,3977
2024-01-18,Printer Paper,985
2024-07-28,Courier Charge,5007
2024-01-16,Flight Booking,3462
2024-08-07,Office Stationery,1621
2024-02-07,Office Chair,24077
2024-03-15,Notion Annual,3547
2024-06-12,Swiggy Team Lunch,339
2024-04-19,Intern Stipend,41552
2024-04-29,WiFi Payment,3434
2024-05-25,Local Vendor,3358
2024-10-14,Zoom License,1343
2024-11-26,Uber Ride,4901
2024-08-10,Canva Pro,13389
2024-04-10,Zomato Dinner,1111
2024-01-24,Payroll Transfer,52679
2024-03-04,Rail Ticket,1176
2024-10-29,Electricity Bill,3477
2024-01-11,Google Ads,10443
2024-01-03,Uber Ride,4916
2024-07-25,Broadband Recharge,1873
2024-01-21,Intern Stipend,54571
2024-02-05,Restaurant Meeting,366
2024-06-03,Electricity Bill,4200
2024-07-23,Flight Booking,3032
2024-09-09,Pens Purchase,1582
2024-12-22,Payroll Transfer,39558
2024-07-10,Broadband Recharge,1794
2024-01-25,Office Stationery,1217
2024-06-14,Employee Salary,26890
2024-02-15,Google Ads,3788
2024-10-02,Notion Annual,7185
2024-01-27,Intern Stipend,76886
2024-01-25,Uber Ride,1107
2024-06-17,Uber Ride,2360
2024-03-28,Facebook Ads,12446
2024-03-05,Desk Equipment,15857
2024-10-26,Swiggy Team Lunch,3384
2024-12-08,Canva Pro,8320
2024-05-03,Pens Purchase,2461
2024-05-23,WiFi Payment,4814
2024-04-25,Restaurant Meeting,2277
2024-12-30,Printer Paper,1513
2024-05-04,Printer Paper,2587
2024-09-10,AWS Subscription,1115
2024-12-09,Employee Salary,20860
2024-07-16,GitHub Pro,7205
2024-06-23,GitHub Pro,1356
2024-06-08,Notion Annual,6729
2024-09-15,WiFi Payment,2061
2024-07-05,Office Stationery,1196
2024-09-19,Facebook Ads,11165
2024-02-05,GitHub Pro,2039
2024-12-17,Rail Ticket,1545
2024-08-24,Uber Ride,1406
2024-05-03,Pens Purchase,751
2024-05-16,Payroll Transfer,32257
2024-09-28,Payroll Transfer,63377
2024-03-01,Broadband Recharge,2975
2024-08-08,Local Vendor,3103
2024-09-14,Zoom License,3751
2024-01-28,Canva Pro,6467
2024-02-20,Broadband Recharge,3829
2024-08-04,Intern Stipend,45068
2024-07-25,Notion Annual,2051
2024-11-07,Office Chair,42705
2024-02-25,WiFi Payment,4351
2024-02-26,Intern Stipend,36314
2024-01-19,AWS Subscription,935
2024-09-29,Ola Cab,739
2024-11-13,Printer Paper,1227
2024-02-21,Facebook Ads,7437
2024-04-15,Notion Annual,4556
2024-11-22,Monitor Setup,30782
2024-02-18,Flight Booking,225
2024-06-05,Desk Equipment,56437
2024-12-14,Zoom License,3081
2024-06-19,Office Stationery,1067
2024-12-07,Electricity Bill,904
2024-01-11,Broadband Recharge,3536
2024-03-28,Office Chair,13044
2024-08-30,Intern Stipend,43078
2024-05-06,Payroll Transfer,77227
2024-01-09,Electricity Bill,1170
2024-09-14,Ola Cab,4503
2024-02-18,Monitor Setup,58807
2024-08-19,Printer Paper,1674
2024-10-06,WiFi Payment,3673
2024-07-05,Rail Ticket,2276
2024-06-03,Electricity Bill,3688
2024-12-05,Restaurant Meeting,3472
2024-12-17,Electricity Bill,3011
2024-07-29,Local Vendor,1411
2024-09-11,Zoom License,3426
2024-12-22,Employee Salary,57852
2024-02-15,Facebook Ads,4380
2024-02-25,GitHub Pro,5732
2024-03-30,Rail Ticket,4516
2024-07-19,Flight Booking,2913
2024-04-07,Facebook Ads,6067
2024-12-25,Intern Stipend,54083
2024-08-09,Restaurant Meeting,803
2024-05-27,WiFi Payment,3642
2024-12-16,Office Stationery,2343
2024-03-17,Desk Equipment,52624
2024-10-12,Courier Charge,5310
2024-05-27,Office Chair,39904
2024-08-20,Printer Paper,363
2024-10-30,Employee Salary,38547
2024-06-05,Office Stationery,2300
2024-12-04,Payroll Transfer,43085
2024-03-11,Employee Salary,36477
2024-09-14,Zomato Dinner,3516
2024-12-31,Repair Service,904
2024-08-09,Ola Cab,1811
2024-01-17,Printer Paper,1196
2024-12-13,Broadband Recharge,2837
2024-02-20,Facebook Ads,7539
2024-03-29,Flight Booking,2745
2024-10-23,Canva Pro,6283
2024-03-10,Monitor Setup,24385
2024-06-03,Canva Pro,4268
2024-10-17,Uber Ride,2635
2024-07-11,WiFi Payment,2302
2024-09-26,Google Ads,3270
2024-09-14,WiFi Payment,3366
2024-08-06,Zomato Dinner,1750
